integrator,problem,dt,mean_time,std_time,rms_error,max_error,position_rms,velocity_rms,energy_drift,max_energy_drift,n_steps,n_evaluations
RK45 (Adaptive),Nonlinear Pendulum,0.0001,0.0253158200008329,0.0016377789344968641,5.742477897116938e-06,1.6236253658201253e-05,4.96816574593569e-06,2.879823175090416e-06,2.1761692037763427e-07,3.9535223583797574e-07,588,3840
Velocity Verlet,Nonlinear Pendulum,0.5,0.0006229599937796592,2.6697636470789798e-05,0.08066775355395231,0.19903433842934837,0.06631787798190969,0.045926305353443386,0.006283310662617292,0.08054072472262641,100,101
Velocity Verlet,Nonlinear Pendulum,0.2,0.001611840003170073,0.00013608004413611895,0.012934651894477319,0.03226389521792137,0.01060636654016285,0.007403391685370947,0.0007334668228015983,0.012628416256291297,250,251
Velocity Verlet,Nonlinear Pendulum,0.1,0.003792739997152239,0.0008097776851530917,0.003231574109090763,0.008063349007363916,0.002649083687478038,0.0018507908685974005,0.00017069788620428702,0.003153504709687116,500,501
Velocity Verlet,Nonlinear Pendulum,0.05,0.006979069992667064,0.0007179942374007306,0.0008075333760218438,0.0020171843283225137,0.0006619458948064951,0.00046253409143333986,4.185332415925835e-05,0.0007879378252599878,1000,1001
Velocity Verlet,Nonlinear Pendulum,0.02,0.017304939997848122,0.0009934632457223203,0.0001291654348804475,0.00032278634484944027,0.00010587927393407003,7.398167961765455e-05,6.6594073117837275e-06,0.00012604937622140433,2500,2501
Velocity Verlet,Nonlinear Pendulum,0.01,0.03460793999256566,0.0026933447062848183,3.2287767431526785e-05,8.069648578649973e-05,2.646707158484632e-05,1.849308106928054e-05,1.6635229302548822e-06,3.151166783177395e-05,5000,5001
Velocity Verlet,Nonlinear Pendulum,0.005,0.06769719000440091,0.0016177311215777982,8.071434490323675e-06,2.0173974645040176e-05,6.6163814118598124e-06,4.622937566567664e-06,4.157976526496207e-07,7.877872886696835e-06,10000,10001
Velocity Verlet,Nonlinear Pendulum,0.002,0.17318736001034268,0.002677645957180364,1.2913237632249672e-06,3.227638782999541e-06,1.0585351093385357e-06,7.396083313262134e-07,6.652390233589316e-08,1.2604576054009442e-06,25000,25001
Velocity Verlet,Nonlinear Pendulum,0.001,0.34791171000688337,0.004440954512007549,3.2277761677858725e-07,8.067993575718032e-07,2.645887013620314e-07,1.848734945978419e-07,1.6630839760465733e-08,3.151143459501071e-07,50000,50001
Velocity Verlet,Nonlinear Pendulum,0.0005,0.6899148900061846,0.00908944065808396,8.063150038308165e-08,2.0142525185894732e-07,6.609249147431463e-08,4.6186810073272493e-08,4.1577022351296196e-09,7.87786029743387e-08,100000,100001
Velocity Verlet,Nonlinear Pendulum,0.0001,3.4932003000052645,0.07660820228468948,2.9934060839676204e-09,6.896431780459301e-09,2.440262601391191e-09,1.7336661788781198e-09,1.6621172899089274e-10,3.151325866923571e-09,500000,500001
